VD;VD_AP;VD_0S;VD_HAP;VD_0AP;VD_HS;CONT.PREC;OCORRENCIA;CONT.SEGUINTE;ITEM.LEXICAL;TRANSC.FONOLOGICA;CONT.FON.PREC;CFP_abertura;CFP_anterioridade;CFP_tracoposicao1;CFP_tracoposicao2;CONT.FON.SEG;CFS_pontoc;CFS_sonor;TONICIDADE;POSICAO.S;CLASSE.MORFOLOGICA;CLASSE.MORFOLOGICA2;CLASSE.MORFOLOGICA3;MORFEMA.PLURAL;MORFEMA.PLURAL2;MUDANCA.SENTIDO;ESTILO;ARQUIVO;ANO.ENTREVISTA;LOCALIZACAO;PERFIL;ESTADO;PARTICIPANTE;SEXO;IDADE;FAIXA.ETARIA;ESCOLARIDADE;ESCOLARIDADE2;OCUPACAO;INDICE.SOCIO;CLASSE.SOCIAL;CLASSE.SOCIAL.BC;CLASSE.SOCIAL.BCC;IDADE.MIGRACAO;IDADE.MIGRACAO2;TEMPO.SP;TEMPO.SP2;PROP.VIDA.SP;PROP.VIDA.SP2;CID.ORIGEM;CID.RESIDENCIA;MOTIVO;AMIGOS;VIZINHOS;COLEGAS.ESTADO;COLEGAS.NE;COMIDA;MUSICA;CONVERSA;VOLTA;ONDE.MORARIA;ESTADUALIDADE;PAULISTIDADE;NORDESTINIDADE;DIF.SP;DIF.NE;DIF.FALAR;IMOVEL;PROPRIEDADE;NQUARTOS;NBANHEIROS;NPESSOAS;NRENDA;RENDA.IND;RENDA.FAM;ESCOLA.PAI;OCUPACAO.PAI;ESCOLA.MAE;OCUPACAO.MAE;QUALIDADE.GRAV;NATURALIDADE.GRAV;PONTUACAO;DOCUMENTADOR;DURACAO;INDICE.REDE.EST;INDICE.REDE.NE;INDICE.HABITOS
A;A;S;AP;AP;S;uhum | S aqui em Paulínia;mesmo <A>;é quase (acho que) tudo;mesmo;'me$-mo;e;meia.fechada;anterior;mais.anterior;menos.posterior;m;dorsal.labial;sonora;tonica;medial;adjetivo;adjetivo;lexical;nao;nao;nao;conversa;PBCP_2017FB+_MarisaR;2017;00:22:23.423;FB+;PB;MarisaR;feminino;45;2a.3a;fund2;fund;Diarista;1,83;D;baixa;baixa;19;19-;26;10+;58;maismetade;Soledade;Paulinia;familia;maioria;varios;nao;nao;1xsemana;sempre;todo.dia;1xano;estado.origem;10;6;10;10;8;10;casa;proprio;2;2;5;1;1a2SM;1a2SM;NC;Aposentado;NC;Aposentada;3-ruidomedio;5;94;Fernanda Guirelli;00h43min59seg;9;11;11
A;A;S;AP;AP;S;falar que é da minha terra;mesmo <A>;filha ô | D1 pode;mesmo;'me$-mo;e;meia.fechada;anterior;mais.anterior;menos.posterior;m;dorsal.labial;sonora;tonica;medial;adjetivo;adjetivo;lexical;nao;nao;nao;conversa;PBCP_2017FB+_MarisaR;2017;00:22:30.975;FB+;PB;MarisaR;feminino;45;2a.3a;fund2;fund;Diarista;1,83;D;baixa;baixa;19;19-;26;10+;58;maismetade;Soledade;Paulinia;familia;maioria;varios;nao;nao;1xsemana;sempre;todo.dia;1xano;estado.origem;10;6;10;10;8;10;casa;proprio;2;2;5;1;1a2SM;1a2SM;NC;Aposentado;NC;Aposentada;3-ruidomedio;5;94;Fernanda Guirelli;00h43min59seg;9;11;11
A;A;S;AP;AP;S;porque ela e ela é carioca;mesmo <A>;| D1 uhum | S;mesmo;'me$-mo;e;meia.fechada;anterior;mais.anterior;menos.posterior;m;dorsal.labial;sonora;tonica;medial;adjetivo;adjetivo;lexical;nao;nao;nao;conversa;PBCP_2017FB+_MarisaR;2017;00:22:34.330;FB+;PB;MarisaR;feminino;45;2a.3a;fund2;fund;Diarista;1,83;D;baixa;baixa;19;19-;26;10+;58;maismetade;Soledade;Paulinia;familia;maioria;varios;nao;nao;1xsemana;sempre;todo.dia;1xano;estado.origem;10;6;10;10;8;10;casa;proprio;2;2;5;1;1a2SM;1a2SM;NC;Aposentado;NC;Aposentada;3-ruidomedio;5;94;Fernanda Guirelli;00h43min59seg;9;11;11
A;A;S;AP;AP;S;maioria é lá do Nordeste <P>;mesmo <A>;porque é | S é;mesmo;'me$-mo;e;meia.fechada;anterior;mais.anterior;menos.posterior;m;dorsal.labial;sonora;tonica;medial;adjetivo;adjetivo;lexical;nao;nao;nao;conversa;PBCP_2017FB+_MarisaR;2017;00:22:34.330;FB+;PB;MarisaR;feminino;45;2a.3a;fund2;fund;Diarista;1,83;D;baixa;baixa;19;19-;26;10+;58;maismetade;Soledade;Paulinia;familia;maioria;varios;nao;nao;1xsemana;sempre;todo.dia;1xano;estado.origem;10;6;10;10;8;10;casa;proprio;2;2;5;1;1a2SM;1a2SM;NC;Aposentado;NC;Aposentada;3-ruidomedio;5;94;Fernanda Guirelli;00h43min59seg;9;11;11
0;NA;0;NA;0;S;<A> banda lá | S mineiro;mesmo <0>;assim apesar que {D.} disse;mesmo;'me$-mo;e;meia.fechada;anterior;mais.anterior;menos.posterior;m;dorsal.labial;sonora;tonica;medial;adjetivo;adjetivo;lexical;nao;nao;nao;conversa;PBCP_2017FB+_MarisaR;2017;00:22:40.708;FB+;PB;MarisaR;feminino;45;2a.3a;fund2;fund;Diarista;1,83;D;baixa;baixa;19;19-;26;10+;58;maismetade;Soledade;Paulinia;familia;maioria;varios;nao;nao;1xsemana;sempre;todo.dia;1xano;estado.origem;10;6;10;10;8;10;casa;proprio;2;2;5;1;1a2SM;1a2SM;NC;Aposentado;NC;Aposentada;3-ruidomedio;5;94;Fernanda Guirelli;00h43min59seg;9;11;11
A;A;S;AP;AP;S;| S não | S do;mesmo <A>;do/ você quer falar ah;mesmo;'me$-mo;e;meia.fechada;anterior;mais.anterior;menos.posterior;m;dorsal.labial;sonora;tonica;medial;adjetivo;adjetivo;lexical;nao;nao;nao;conversa;PBCP_2017FB+_MarisaR;2017;00:22:45.634;FB+;PB;MarisaR;feminino;45;2a.3a;fund2;fund;Diarista;1,83;D;baixa;baixa;19;19-;26;10+;58;maismetade;Soledade;Paulinia;familia;maioria;varios;nao;nao;1xsemana;sempre;todo.dia;1xano;estado.origem;10;6;10;10;8;10;casa;proprio;2;2;5;1;1a2SM;1a2SM;NC;Aposentado;NC;Aposentada;3-ruidomedio;5;94;Fernanda Guirelli;00h43min59seg;9;11;11
0;NA;0;NA;0;S;| S é de um erre;mesmo <0>;(ontem) (xxx) | D1 então;mesmo;'me$-mo;e;meia.fechada;anterior;mais.anterior;menos.posterior;m;dorsal.labial;sonora;tonica;medial;adjetivo;adjetivo;lexical;nao;nao;nao;conversa;PBCP_2017FB+_MarisaR;2017;00:22:45.634;FB+;PB;MarisaR;feminino;45;2a.3a;fund2;fund;Diarista;1,83;D;baixa;baixa;19;19-;26;10+;58;maismetade;Soledade;Paulinia;familia;maioria;varios;nao;nao;1xsemana;sempre;todo.dia;1xano;estado.origem;10;6;10;10;8;10;casa;proprio;2;2;5;1;1a2SM;1a2SM;NC;Aposentado;NC;Aposentada;3-ruidomedio;5;94;Fernanda Guirelli;00h43min59seg;9;11;11
A;A;S;AP;AP;S;doido | S é só essa;mesmo <A>;| D1 está bom |;mesmo;'me$-mo;e;meia.fechada;anterior;mais.anterior;menos.posterior;m;dorsal.labial;sonora;tonica;medial;adjetivo;adjetivo;lexical;nao;nao;nao;conversa;PBCP_2017FB+_MarisaR;2017;00:22:53.833;FB+;PB;MarisaR;feminino;45;2a.3a;fund2;fund;Diarista;1,83;D;baixa;baixa;19;19-;26;10+;58;maismetade;Soledade;Paulinia;familia;maioria;varios;nao;nao;1xsemana;sempre;todo.dia;1xano;estado.origem;10;6;10;10;8;10;casa;proprio;2;2;5;1;1a2SM;1a2SM;NC;Aposentado;NC;Aposentada;3-ruidomedio;5;94;Fernanda Guirelli;00h43min59seg;9;11;11
0;NA;0;NA;0;S;daqui minha filha porque de lá;mesmo <0>;eu acho que eu não;mesmo;'me$-mo;e;meia.fechada;anterior;mais.anterior;menos.posterior;m;dorsal.labial;sonora;tonica;medial;adjetivo;adjetivo;lexical;nao;nao;nao;conversa;PBCP_2017FB+_RoselinaM;2017;00:23:17.428;FB+;PB;RoselinaM;feminino;41;2a.3a;fund2;fund;Diarista;1,83;D;baixa;baixa;23;20+;18;10+;44;de1a2quartos;Soledade;Paulinia;trabalho;poucos;alguns;nao;nao;1xsemana;nunca;todo.dia;nunca;outro;10;3;10;10;8;10;casa;proprio;3+;3+;4;2;1a2SM;2a4SM;NC;Aposentado;NC;Aposentada;4-ruidobaixo;5;97;Fernanda Guirelli;00h48min17seg;4;4;5
0;NA;0;NA;0;S;D1 daqui? | S é aqui;mesmo <0>;minhas <A> amizade | S;mesmo;'me$-mo;e;meia.fechada;anterior;mais.anterior;menos.posterior;m;dorsal.labial;sonora;tonica;medial;adjetivo;adjetivo;lexical;nao;nao;nao;conversa;PBCP_2017FB+_RoselinaM;2017;00:23:25.428;FB+;PB;RoselinaM;feminino;41;2a.3a;fund2;fund;Diarista;1,83;D;baixa;baixa;23;20+;18;10+;44;de1a2quartos;Soledade;Paulinia;trabalho;poucos;alguns;nao;nao;1xsemana;nunca;todo.dia;nunca;outro;10;3;10;10;8;10;casa;proprio;3+;3+;4;2;1a2SM;2a4SM;NC;Aposentado;NC;Aposentada;4-ruidobaixo;5;97;Fernanda Guirelli;00h48min17seg;4;4;5
A;A;S;AP;AP;S;| S não são tudo daqui;mesmo <A>;viu eu tenho contato sim;mesmo;'me$-mo;e;meia.fechada;anterior;mais.anterior;menos.posterior;m;dorsal.labial;sonora;tonica;medial;adjetivo;adjetivo;lexical;nao;nao;nao;conversa;PBCP_2017FB+_RoselinaM;2017;00:23:25.428;FB+;PB;RoselinaM;feminino;41;2a.3a;fund2;fund;Diarista;1,83;D;baixa;baixa;23;20+;18;10+;44;de1a2quartos;Soledade;Paulinia;trabalho;poucos;alguns;nao;nao;1xsemana;nunca;todo.dia;nunca;outro;10;3;10;10;8;10;casa;proprio;3+;3+;4;2;1a2SM;2a4SM;NC;Aposentado;NC;Aposentada;4-ruidobaixo;5;97;Fernanda Guirelli;00h48min17seg;4;4;5
0;NA;0;NA;0;S;S só pra/ daqui pra Paraíba;mesmo <0>;é | D1 você nunca;mesmo;'me$-mo;e;meia.fechada;anterior;mais.anterior;menos.posterior;m;dorsal.labial;sonora;tonica;medial;adjetivo;adjetivo;lexical;nao;nao;nao;conversa;PBCP_2017FB+_RoselinaM;2017;00:23:31.986;FB+;PB;RoselinaM;feminino;41;2a.3a;fund2;fund;Diarista;1,83;D;baixa;baixa;23;20+;18;10+;44;de1a2quartos;Soledade;Paulinia;trabalho;poucos;alguns;nao;nao;1xsemana;nunca;todo.dia;nunca;outro;10;3;10;10;8;10;casa;proprio;3+;3+;4;2;1a2SM;2a4SM;NC;Aposentado;NC;Aposentada;4-ruidobaixo;5;97;Fernanda Guirelli;00h48min17seg;4;4;5
A;A;S;AP;AP;S;vontade é de conhecer o Brasil;mesmo <A>;| D1 tem tanta coisa;mesmo;'me$-mo;e;meia.fechada;anterior;mais.anterior;menos.posterior;m;dorsal.labial;sonora;tonica;medial;adjetivo;adjetivo;lexical;nao;nao;nao;conversa;PBCP_2017FB+_RoselinaM;2017;00:23:31.986;FB+;PB;RoselinaM;feminino;41;2a.3a;fund2;fund;Diarista;1,83;D;baixa;baixa;23;20+;18;10+;44;de1a2quartos;Soledade;Paulinia;trabalho;poucos;alguns;nao;nao;1xsemana;nunca;todo.dia;nunca;outro;10;3;10;10;8;10;casa;proprio;3+;3+;4;2;1a2SM;2a4SM;NC;Aposentado;NC;Aposentada;4-ruidobaixo;5;97;Fernanda Guirelli;00h48min17seg;4;4;5
0;NA;0;NA;0;S;D1 e mesmo assim | S;mesmo <0>;assim está <E> difícil né;mesmo;'me$-mo;e;meia.fechada;anterior;mais.anterior;menos.posterior;m;dorsal.labial;sonora;tonica;medial;adjetivo;adjetivo;lexical;nao;nao;nao;conversa;PBCP_2017FB+_RoselinaM;2017;00:23:40.140;FB+;PB;RoselinaM;feminino;41;2a.3a;fund2;fund;Diarista;1,83;D;baixa;baixa;23;20+;18;10+;44;de1a2quartos;Soledade;Paulinia;trabalho;poucos;alguns;nao;nao;1xsemana;nunca;todo.dia;nunca;outro;10;3;10;10;8;10;casa;proprio;3+;3+;4;2;1a2SM;2a4SM;NC;Aposentado;NC;Aposentada;4-ruidobaixo;5;97;Fernanda Guirelli;00h48min17seg;4;4;5
0;NA;0;NA;0;S;| D1 está difícil | S;mesmo <0>;trabalhando está <E> difícil |;mesmo;'me$-mo;e;meia.fechada;anterior;mais.anterior;menos.posterior;m;dorsal.labial;sonora;tonica;medial;adjetivo;adjetivo;lexical;nao;nao;nao;conversa;PBCP_2017FB+_RoselinaM;2017;00:23:42.481;FB+;PB;RoselinaM;feminino;41;2a.3a;fund2;fund;Diarista;1,83;D;baixa;baixa;23;20+;18;10+;44;de1a2quartos;Soledade;Paulinia;trabalho;poucos;alguns;nao;nao;1xsemana;nunca;todo.dia;nunca;outro;10;3;10;10;8;10;casa;proprio;3+;3+;4;2;1a2SM;2a4SM;NC;Aposentado;NC;Aposentada;4-ruidobaixo;5;97;Fernanda Guirelli;00h48min17seg;4;4;5
0;NA;0;NA;0;S;fa/ é melhor ficar por aqui;mesmo <0>;pelo menos <0> a gente;mesmo;'me$-mo;e;meia.fechada;anterior;mais.anterior;menos.posterior;m;dorsal.labial;sonora;tonica;medial;adjetivo;adjetivo;lexical;nao;nao;nao;conversa;PBCP_2017FB+_RoselinaM;2017;00:23:42.481;FB+;PB;RoselinaM;feminino;41;2a.3a;fund2;fund;Diarista;1,83;D;baixa;baixa;23;20+;18;10+;44;de1a2quartos;Soledade;Paulinia;trabalho;poucos;alguns;nao;nao;1xsemana;nunca;todo.dia;nunca;outro;10;3;10;10;8;10;casa;proprio;3+;3+;4;2;1a2SM;2a4SM;NC;Aposentado;NC;Aposentada;4-ruidobaixo;5;97;Fernanda Guirelli;00h48min17seg;4;4;5
A;A;S;AP;AP;S;pe/ o pessoal daqui em si;mesmo <A>;eles <A> | D1 é;mesmo;'me$-mo;e;meia.fechada;anterior;mais.anterior;menos.posterior;m;dorsal.labial;sonora;tonica;medial;adjetivo;adjetivo;lexical;nao;nao;nao;conversa;PBCP_2017FB+_RoselinaM;2017;00:23:45.670;FB+;PB;RoselinaM;feminino;41;2a.3a;fund2;fund;Diarista;1,83;D;baixa;baixa;23;20+;18;10+;44;de1a2quartos;Soledade;Paulinia;trabalho;poucos;alguns;nao;nao;1xsemana;nunca;todo.dia;nunca;outro;10;3;10;10;8;10;casa;proprio;3+;3+;4;2;1a2SM;2a4SM;NC;Aposentado;NC;Aposentada;4-ruidobaixo;5;97;Fernanda Guirelli;00h48min17seg;4;4;5
A;A;S;AP;AP;S;filha é bem dife/ bem diferente;mesmo <A>;| S entendeu? | D1;mesmo;'me$-mo;e;meia.fechada;anterior;mais.anterior;menos.posterior;m;dorsal.labial;sonora;tonica;medial;adjetivo;adjetivo;lexical;nao;nao;nao;conversa;PBCP_2017FB+_RoselinaM;2017;00:23:45.670;FB+;PB;RoselinaM;feminino;41;2a.3a;fund2;fund;Diarista;1,83;D;baixa;baixa;23;20+;18;10+;44;de1a2quartos;Soledade;Paulinia;trabalho;poucos;alguns;nao;nao;1xsemana;nunca;todo.dia;nunca;outro;10;3;10;10;8;10;casa;proprio;3+;3+;4;2;1a2SM;2a4SM;NC;Aposentado;NC;Aposentada;4-ruidobaixo;5;97;Fernanda Guirelli;00h48min17seg;4;4;5
0;NA;0;NA;0;S;pessoal de de | S Paulínia;mesmo <0>;| S é | D1;mesmo;'me$-mo;e;meia.fechada;anterior;mais.anterior;menos.posterior;m;dorsal.labial;sonora;tonica;medial;adjetivo;adjetivo;lexical;nao;nao;nao;conversa;PBCP_2017FB+_RoselinaM;2017;00:23:45.670;FB+;PB;RoselinaM;feminino;41;2a.3a;fund2;fund;Diarista;1,83;D;baixa;baixa;23;20+;18;10+;44;de1a2quartos;Soledade;Paulinia;trabalho;poucos;alguns;nao;nao;1xsemana;nunca;todo.dia;nunca;outro;10;3;10;10;8;10;casa;proprio;3+;3+;4;2;1a2SM;2a4SM;NC;Aposentado;NC;Aposentada;4-ruidobaixo;5;97;Fernanda Guirelli;00h48min17seg;4;4;5
A;A;S;AP;AP;S;vivem muito em função deles <A>;mesmo <A>;entendeu alguns <A> vive em;mesmo;'me$-mo;e;meia.fechada;anterior;mais.anterior;menos.posterior;m;dorsal.labial;sonora;tonica;medial;adjetivo;adjetivo;lexical;nao;nao;nao;conversa;PBCP_2017FB+_RoselinaM;2017;00:23:53.548;FB+;PB;RoselinaM;feminino;41;2a.3a;fund2;fund;Diarista;1,83;D;baixa;baixa;23;20+;18;10+;44;de1a2quartos;Soledade;Paulinia;trabalho;poucos;alguns;nao;nao;1xsemana;nunca;todo.dia;nunca;outro;10;3;10;10;8;10;casa;proprio;3+;3+;4;2;1a2SM;2a4SM;NC;Aposentado;NC;Aposentada;4-ruidobaixo;5;97;Fernanda Guirelli;00h48min17seg;4;4;5
0;NA;0;NA;0;S;| S dos <A> paulista <P>;mesmo <0>;assim parece que não tem;mesmo;'me$-mo;e;meia.fechada;anterior;mais.anterior;menos.posterior;m;dorsal.labial;sonora;tonica;medial;adjetivo;adjetivo;lexical;nao;nao;nao;conversa;PBCP_2017FB+_RoselinaM;2017;00:24:14.505;FB+;PB;RoselinaM;feminino;41;2a.3a;fund2;fund;Diarista;1,83;D;baixa;baixa;23;20+;18;10+;44;de1a2quartos;Soledade;Paulinia;trabalho;poucos;alguns;nao;nao;1xsemana;nunca;todo.dia;nunca;outro;10;3;10;10;8;10;casa;proprio;3+;3+;4;2;1a2SM;2a4SM;NC;Aposentado;NC;Aposentada;4-ruidobaixo;5;97;Fernanda Guirelli;00h48min17seg;4;4;5
0;NA;0;NA;0;S;ver e vai largar pra lá;mesmo <0>;não vou ajudar que se;mesmo;'me$-mo;e;meia.fechada;anterior;mais.anterior;menos.posterior;m;dorsal.labial;sonora;tonica;medial;adjetivo;adjetivo;lexical;nao;nao;nao;conversa;PBCP_2017FB+_RoselinaM;2017;00:24:14.505;FB+;PB;RoselinaM;feminino;41;2a.3a;fund2;fund;Diarista;1,83;D;baixa;baixa;23;20+;18;10+;44;de1a2quartos;Soledade;Paulinia;trabalho;poucos;alguns;nao;nao;1xsemana;nunca;todo.dia;nunca;outro;10;3;10;10;8;10;casa;proprio;3+;3+;4;2;1a2SM;2a4SM;NC;Aposentado;NC;Aposentada;4-ruidobaixo;5;97;Fernanda Guirelli;00h48min17seg;4;4;5
A;A;S;AP;AP;S;são mais <A> mais <A> secão;mesmo <A>;entendeu? | S de |;mesmo;'me$-mo;e;meia.fechada;anterior;mais.anterior;menos.posterior;m;dorsal.labial;sonora;tonica;medial;adjetivo;adjetivo;lexical;nao;nao;nao;conversa;PBCP_2017FB+_RoselinaM;2017;00:24:37.628;FB+;PB;RoselinaM;feminino;41;2a.3a;fund2;fund;Diarista;1,83;D;baixa;baixa;23;20+;18;10+;44;de1a2quartos;Soledade;Paulinia;trabalho;poucos;alguns;nao;nao;1xsemana;nunca;todo.dia;nunca;outro;10;3;10;10;8;10;casa;proprio;3+;3+;4;2;1a2SM;2a4SM;NC;Aposentado;NC;Aposentada;4-ruidobaixo;5;97;Fernanda Guirelli;00h48min17seg;4;4;5
0;NA;0;NA;0;S;São Paulo | S de Paulínia;mesmo <0>;porque no estado <A> de;mesmo;'me$-mo;e;meia.fechada;anterior;mais.anterior;menos.posterior;m;dorsal.labial;sonora;tonica;medial;adjetivo;adjetivo;lexical;nao;nao;nao;conversa;PBCP_2017FB+_RoselinaM;2017;00:24:52.677;FB+;PB;RoselinaM;feminino;41;2a.3a;fund2;fund;Diarista;1,83;D;baixa;baixa;23;20+;18;10+;44;de1a2quartos;Soledade;Paulinia;trabalho;poucos;alguns;nao;nao;1xsemana;nunca;todo.dia;nunca;outro;10;3;10;10;8;10;casa;proprio;3+;3+;4;2;1a2SM;2a4SM;NC;Aposentado;NC;Aposentada;4-ruidobaixo;5;97;Fernanda Guirelli;00h48min17seg;4;4;5
A;A;S;AP;AP;S;<A> atrás <0> não era difícil;mesmo <A>;entendeu a condição financeira era;mesmo;'me$-mo;e;meia.fechada;anterior;mais.anterior;menos.posterior;m;dorsal.labial;sonora;tonica;medial;adjetivo;adjetivo;lexical;nao;nao;nao;conversa;PBCP_2017FB+_RoselinaM;2017;00:24:52.677;FB+;PB;RoselinaM;feminino;41;2a.3a;fund2;fund;Diarista;1,83;D;baixa;baixa;23;20+;18;10+;44;de1a2quartos;Soledade;Paulinia;trabalho;poucos;alguns;nao;nao;1xsemana;nunca;todo.dia;nunca;outro;10;3;10;10;8;10;casa;proprio;3+;3+;4;2;1a2SM;2a4SM;NC;Aposentado;NC;Aposentada;4-ruidobaixo;5;97;Fernanda Guirelli;00h48min17seg;4;4;5
A;A;S;AP;AP;S;dava | S tranco neles <A>;mesmo <A>;entendeu? | S então eles;mesmo;'me$-mo;e;meia.fechada;anterior;mais.anterior;menos.posterior;m;dorsal.labial;sonora;tonica;medial;adjetivo;adjetivo;lexical;nao;nao;nao;conversa;PBCP_2017FB+_RoselinaM;2017;00:24:52.677;FB+;PB;RoselinaM;feminino;41;2a.3a;fund2;fund;Diarista;1,83;D;baixa;baixa;23;20+;18;10+;44;de1a2quartos;Soledade;Paulinia;trabalho;poucos;alguns;nao;nao;1xsemana;nunca;todo.dia;nunca;outro;10;3;10;10;8;10;casa;proprio;3+;3+;4;2;1a2SM;2a4SM;NC;Aposentado;NC;Aposentada;4-ruidobaixo;5;97;Fernanda Guirelli;00h48min17seg;4;4;5
A;A;S;AP;AP;S;se pronunciar né porque é diferente;mesmo <A>;né | D1 uhum |;mesmo;'me$-mo;e;meia.fechada;anterior;mais.anterior;menos.posterior;m;dorsal.labial;sonora;tonica;medial;adjetivo;adjetivo;lexical;nao;nao;nao;conversa;PBCP_2017FB+_RoselinaM;2017;00:25:12.022;FB+;PB;RoselinaM;feminino;41;2a.3a;fund2;fund;Diarista;1,83;D;baixa;baixa;23;20+;18;10+;44;de1a2quartos;Soledade;Paulinia;trabalho;poucos;alguns;nao;nao;1xsemana;nunca;todo.dia;nunca;outro;10;3;10;10;8;10;casa;proprio;3+;3+;4;2;1a2SM;2a4SM;NC;Aposentado;NC;Aposentada;4-ruidobaixo;5;97;Fernanda Guirelli;00h48min17seg;4;4;5
A;A;S;AP;AP;S;a | S boca no mundo;mesmo <A>;né | S então mas;mesmo;'me$-mo;e;meia.fechada;anterior;mais.anterior;menos.posterior;m;dorsal.labial;sonora;tonica;medial;adjetivo;adjetivo;lexical;nao;nao;nao;conversa;PBCP_2017FB+_RoselinaM;2017;00:25:14.653;FB+;PB;RoselinaM;feminino;41;2a.3a;fund2;fund;Diarista;1,83;D;baixa;baixa;23;20+;18;10+;44;de1a2quartos;Soledade;Paulinia;trabalho;poucos;alguns;nao;nao;1xsemana;nunca;todo.dia;nunca;outro;10;3;10;10;8;10;casa;proprio;3+;3+;4;2;1a2SM;2a4SM;NC;Aposentado;NC;Aposentada;4-ruidobaixo;5;97;Fernanda Guirelli;00h48min17seg;4;4;5
A;A;S;AP;AP;S;(xxx) | S pra trabalhar ralar;mesmo <A>;entendeu? | D1 uhum |;mesmo;'me$-mo;e;meia.fechada;anterior;mais.anterior;menos.posterior;m;dorsal.labial;sonora;tonica;medial;adjetivo;adjetivo;lexical;nao;nao;nao;conversa;PBCP_2017FB+_RoselinaM;2017;00:25:36.349;FB+;PB;RoselinaM;feminino;41;2a.3a;fund2;fund;Diarista;1,83;D;baixa;baixa;23;20+;18;10+;44;de1a2quartos;Soledade;Paulinia;trabalho;poucos;alguns;nao;nao;1xsemana;nunca;todo.dia;nunca;outro;10;3;10;10;8;10;casa;proprio;3+;3+;4;2;1a2SM;2a4SM;NC;Aposentado;NC;Aposentada;4-ruidobaixo;5;97;Fernanda Guirelli;00h48min17seg;4;4;5
0;NA;0;NA;0;S;de vida da gente é disso;mesmo <0>;de vim pra trabalhar né;mesmo;'me$-mo;e;meia.fechada;anterior;mais.anterior;menos.posterior;m;dorsal.labial;sonora;tonica;medial;adjetivo;adjetivo;lexical;nao;nao;nao;conversa;PBCP_2017FB+_RoselinaM;2017;00:25:43.309;FB+;PB;RoselinaM;feminino;41;2a.3a;fund2;fund;Diarista;1,83;D;baixa;baixa;23;20+;18;10+;44;de1a2quartos;Soledade;Paulinia;trabalho;poucos;alguns;nao;nao;1xsemana;nunca;todo.dia;nunca;outro;10;3;10;10;8;10;casa;proprio;3+;3+;4;2;1a2SM;2a4SM;NC;Aposentado;NC;Aposentada;4-ruidobaixo;5;97;Fernanda Guirelli;00h48min17seg;4;4;5
A;A;S;AP;AP;S;| S a gente fala paraibano;mesmo <A>;não muda muita coisa não;mesmo;'me$-mo;e;meia.fechada;anterior;mais.anterior;menos.posterior;m;dorsal.labial;sonora;tonica;medial;adjetivo;adjetivo;lexical;nao;nao;nao;conversa;PBCP_2017FB+_RoselinaM;2017;00:25:45.592;FB+;PB;RoselinaM;feminino;41;2a.3a;fund2;fund;Diarista;1,83;D;baixa;baixa;23;20+;18;10+;44;de1a2quartos;Soledade;Paulinia;trabalho;poucos;alguns;nao;nao;1xsemana;nunca;todo.dia;nunca;outro;10;3;10;10;8;10;casa;proprio;3+;3+;4;2;1a2SM;2a4SM;NC;Aposentado;NC;Aposentada;4-ruidobaixo;5;97;Fernanda Guirelli;00h48min17seg;4;4;5
A;A;S;AP;AP;S;em Paulínia | S nossa muito;mesmo <A>;entendeu | S então assim;mesmo;'me$-mo;e;meia.fechada;anterior;mais.anterior;menos.posterior;m;dorsal.labial;sonora;tonica;medial;adjetivo;adjetivo;lexical;nao;nao;nao;conversa;PBCP_2017FB+_RoselinaM;2017;00:25:53.704;FB+;PB;RoselinaM;feminino;41;2a.3a;fund2;fund;Diarista;1,83;D;baixa;baixa;23;20+;18;10+;44;de1a2quartos;Soledade;Paulinia;trabalho;poucos;alguns;nao;nao;1xsemana;nunca;todo.dia;nunca;outro;10;3;10;10;8;10;casa;proprio;3+;3+;4;2;1a2SM;2a4SM;NC;Aposentado;NC;Aposentada;4-ruidobaixo;5;97;Fernanda Guirelli;00h48min17seg;4;4;5
0;NA;0;NA;0;S;S é mais <A> de fora;mesmo <0>;ou então como/ os <A>;mesmo;'me$-mo;e;meia.fechada;anterior;mais.anterior;menos.posterior;m;dorsal.labial;sonora;tonica;medial;adjetivo;adjetivo;lexical;nao;nao;nao;conversa;PBCP_2017FB+_RoselinaM;2017;00:26:03.805;FB+;PB;RoselinaM;feminino;41;2a.3a;fund2;fund;Diarista;1,83;D;baixa;baixa;23;20+;18;10+;44;de1a2quartos;Soledade;Paulinia;trabalho;poucos;alguns;nao;nao;1xsemana;nunca;todo.dia;nunca;outro;10;3;10;10;8;10;casa;proprio;3+;3+;4;2;1a2SM;2a4SM;NC;Aposentado;NC;Aposentada;4-ruidobaixo;5;97;Fernanda Guirelli;00h48min17seg;4;4;5
A;A;S;AP;AP;S;eles são | S são daqui;mesmo <A>;| D1 são daqui mesmo?;mesmo;'me$-mo;e;meia.fechada;anterior;mais.anterior;menos.posterior;m;dorsal.labial;sonora;tonica;medial;adjetivo;adjetivo;lexical;nao;nao;nao;conversa;PBCP_2018FA-_ValentinaM;2018;00:26:06.447;FA-;PB;ValentinaM;feminino;19;1a;medio;medio.superior;Dona de casa;1,5;E;baixa;baixa;15;19-;5;9-;26;de1a2quartos;João Pessoa;Campinas;familia;maioria;nao;NA;NA;1xmes;sempre;todo.dia;1xano;SP;10;5;0;10;7;10;casa;alugado;1;1;5;1;1SM;1SM;NC;NC;NC;NC;2-ruidoalto;3;81;Marina Russo;00h41min55seg;4;6;8
